OBJECTID,SWID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,REG_ID,STATUSDATE,OWNER,CLOSE_DATE,PERMIT_NO,ARC,ID_COUNTY,ID_TRACT_00,ID_TRACT_10,ID_TRACT_20,ID_BLKGRP_00,ID_BLKGRP_10,ID_BLKGRP_20
1916,361973,CORTLAND LEAF TS (T),21 BEDFORD ROAD,CORTLANDT,NY,10567,NOT AVAILABLE,(914) 273-3561,TRANSFER,OPEN,WESTCHESTER,36119,USA,41.3121206878195,-73.9229677764417,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,TOWN OF CORTLANDT,NOT AVAILABLE,60R14,not ARC,36119,NA,NA,NA,NA,NA,NA
1917,361975,COUNTY WASTE TRANSFER CORP. - TROY TS,799 BURDEN AVE,TROY,NY,12180,NOT AVAILABLE,(518) 826-8990,TRANSFER,OPEN,RENSSELAER,36083,USA,42.703958556842,-73.6984080220126,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,7/31/2018,COUNTY WASTE TRANSFER CORP,NOT AVAILABLE,4-3817-00111/00004,not ARC,36083,NA,NA,NA,NA,NA,NA
1918,361972,CORINTH TRANSFER STATION,115 HEATH ROAD,CORINTH,NY,12822,NOT AVAILABLE,(518) 654-8155,TRANSFER,OPEN,SARATOGA,36091,USA,43.2159003861939,-73.8418285726305,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,TOWN OF CORINTH,NOT AVAILABLE,46R13,not ARC,36091,NA,NA,NA,NA,NA,NA
1919,361971,COPAKE CONVENIENCE STATION,COUNTY ROUTE 7A,COPAKE,NY,12526,NOT AVAILABLE,(518) 329-2151,TRANSFER,OPEN,COLUMBIA,36021,USA,42.1277337209345,-73.5554849529682,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,COLUMBIA COUNTY,NOT AVAILABLE,11R32,not ARC,36021,NA,NA,NA,NA,NA,NA
1920,361976,COVANTA B3 TRANSFER STATION,25 FLINTS CROSSING ROAD,CANAAN,NY,12029,NOT AVAILABLE,(518) 878-5305,TRANSFER,OPEN,COLUMBIA,36021,USA,42.3628545729802,-73.4269469618328,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,3/11/2020,COVANTA B3 LLC,NOT AVAILABLE,4-1024-00013/00003,not ARC,36021,NA,NA,NA,NA,NA,NA
1921,361979,CROWN POINT TRANSFER STATION,350 MIDDLE ROAD,CROWN POINT,NY,12928,NOT AVAILABLE,(518) 859-3291,TRANSFER,CLOSED,ESSEX,36031,USA,43.9383329803828,-73.4782137018009,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,TOWN OF CROWN POINT,NOT AVAILABLE,16R44,not ARC,36031,NA,NA,NA,NA,NA,NA
1922,361977,COXSACKIE TS,88 PLANK ROAD,COXSACKIE,NY,12051,NOT AVAILABLE,(518) 731-9419,TRANSFER,OPEN,GREENE,36039,USA,42.349144018082,-73.8388487391779,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,GREENE COUNTY,NOT AVAILABLE,20T01,not ARC,36039,NA,NA,NA,NA,NA,NA
1923,361981,WINTERS BROS RECYCLING OF LI LLC,1590 LAKELAND AVE,BOHEMIA,NY,11716,NOT AVAILABLE,(631) 244-2684,TRANSFER,NOT AVAILABLE,SUFFOLK,36103,USA,40.7828109793433,-73.1132342986239,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Solid-Waste-Management-Facilities/2fni-raj8/data,1645488000000,IMAGERY,1650412800000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,WINTERS BROS. OF LONG ISLAND; LLC,NOT AVAILABLE,NOT AVAILABLE,not ARC,36103,NA,NA,NA,NA,NA,NA
1924,361982,DANNEMORA TRANSFER STATION,958 GENERAL LEROY MANOR ROAD,DANNEMORA,NY,12929,NOT AVAILABLE,(518) 849-7552,TRANSFER,CLOSED,CLINTON,36019,USA,44.7321709050633,-73.6871935642316,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,CLINTON COUNTY,NOT AVAILABLE,10R03,not ARC,36019,NA,NA,NA,NA,NA,NA
1925,361978,CROTON-ON-HUDSON (V) DPW LEAF TS,MUNICIPAL PLACE & ROUTE 9,CROTON ON HUDSON,NY,10520,NOT AVAILABLE,(914) 271-3775,TRANSFER,OPEN,WESTCHESTER,36119,USA,41.2025026437821,-73.8882921486637,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,VILLAGE OF CROTON-ON-HUDSON,NOT AVAILABLE,60R16,not ARC,36119,NA,NA,NA,NA,NA,NA
1926,361980,CUBA-FRIENDSHIP TRANSFER STATION,7912 COUNTY ROUTE 20,FRIENDSHIP,NY,14739,NOT AVAILABLE,(585) 268-9230,TRANSFER,OPEN,ALLEGANY,36003,USA,42.2053812448486,-78.1849114949695,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,ALLEGANY COUNTY DPW,NOT AVAILABLE,02R03,in ARC,36003,36003950500,36003950500,36003950500,360039505003,360039505003,360039505003
1927,361986,DAYTON TRANSFER STATION,9270 CABIC ROAD,DAYTON,NY,14041,NOT AVAILABLE,(716) 532-4490,TRANSFER,OPEN,CATTARAUGUS,36009,USA,42.4043649601748,-78.9716964793091,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,CATTARAUGUS COUNTY DPW,NOT AVAILABLE,05R05,in ARC,36009,36009960500,36009960500,36009960500,360099605001,360099605001,360099605001
1928,361985,DAY RECYCLING CENTER,92 BOVEE ROAD,DAY,NY,12835,NOT AVAILABLE,(518) 696-2406,TRANSFER,OPEN,SARATOGA,36091,USA,43.3102307693346,-73.9971120821568,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,UNVERIFIED,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,TOWN OF DAY,NOT AVAILABLE,46M07,not ARC,36091,NA,NA,NA,NA,NA,NA
1929,361987,DECATUR CONV STATION (T),104 HWY 37,WORCESTER,NY,12197,NOT AVAILABLE,(607) 739-7700,TRANSFER,CLOSED,OTSEGO,36077,USA,42.6441707593731,-74.7246228844385,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,TOWN OF DECATUR,NOT AVAILABLE,39R26,in ARC,36077,36077990600,36077590600,36077590600,360779906001,360775906001,360775906001
1930,361988,DEERFIELD,6892 STATE ROUTE 8,DEERFIELD,NY,13502,NOT AVAILABLE,(315) 826-7014,TRANSFER,OPEN,ONEIDA,36065,USA,43.1951597849961,-75.1223992028609,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,TOWN OF DEERFIELD,NOT AVAILABLE,NOT AVAILABLE,not ARC,36065,NA,NA,NA,NA,NA,NA
1931,361983,DARIEN TRANSFER STATION (T),2319 BUFFALO ROAD; RT. 238,DARIEN,NY,14040,NOT AVAILABLE,(585) 547-9411,TRANSFER,OPEN,GENESEE,36037,USA,42.8848354138233,-78.3261344406519,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,TOWN OF DARIEN,NOT AVAILABLE,19R10,not ARC,36037,NA,NA,NA,NA,NA,NA
1932,361984,DAVENPORT TS (T),7920 COUNTY ROUTE 10,DAVENPORT CENTER,NY,13751,NOT AVAILABLE,(607) 278-5285,TRANSFER,OPEN,DELAWARE,36025,USA,42.447635606598,-74.9163003159068,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,TOWN OF DAVENPORT,NOT AVAILABLE,13R26,in ARC,36025,36025990100,36025970100,36025970102,360259901003,360259701001,360259701021
1933,361990,DENNING TS (T),1444 DENNING RD,CLARYVILLE,NY,12725,NOT AVAILABLE,(845) 985-2543,TRANSFER,OPEN,ULSTER,36111,USA,41.9233757379999,-74.5584839615655,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,TOWN OF DENNING,NOT AVAILABLE,56R15,not ARC,36111,NA,NA,NA,NA,NA,NA
1934,361991,DILIBERTO DISPOSAL,4481 BALL DIAMOND ROAD,HECTOR,NY,14841,NOT AVAILABLE,(607) 546-7484,TRANSFER,OPEN,SCHUYLER,36097,USA,42.5109319462524,-76.7975100553447,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,UNVERIFIED,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,JOEL DILIBERTO,NOT AVAILABLE,NOT AVAILABLE,in ARC,36097,36097950100,36097950100,36097950100,360979501002,360979501002,360979501002
1935,361992,DUNDEE (V) TRANSFER STATION,DUNDEE GLENORA ROAD,DUNDEE,NY,14837,NOT AVAILABLE,(607) 243-8121,TRANSFER,OPEN,YATES,36123,USA,42.5015842616044,-76.9532596933801,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,VILLAGE OF DUNDEE,NOT AVAILABLE,NOT AVAILABLE,not ARC,36123,NA,NA,NA,NA,NA,NA
1936,361989,DEFERIET (V) TRANSFER STATION,68 RIVERSIDE DRIVE,DEFERIET,NY,13628,NOT AVAILABLE,(315) 493-2707,TRANSFER,OPEN,JEFFERSON,36045,USA,44.0409360930263,-75.6810924362669,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,VILLAGE OF DEFERIET,NOT AVAILABLE,23R24,not ARC,36045,NA,NA,NA,NA,NA,NA
1937,361993,DUNKIRK TRANSFER STATION,2735 WEST LAKE ROAD,DUNKIRK,NY,14048,NOT AVAILABLE,(716) 366-4060,TRANSFER,CLOSED,CHAUTAUQUA,36013,USA,42.4665836566105,-79.3676662773768,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,CASELLA WASTE MANAGEMENT NY,NOT AVAILABLE,9-0634-00003/00006,in ARC,36013,36013036000,36013036000,36013036000,360130360001,360130360001,360130360001
1938,361995,EAST HAMPTON RECYCLING CENTER,260 SPRINGS FIREPLACE ROAD,EAST HAMPTON,NY,11937,NOT AVAILABLE,(631) 324-7191,TRANSFER,OPEN,SUFFOLK,36103,USA,40.9883665094069,-72.1685200415666,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,2/17/2020,TOWN OF EAST HAMPTON,NOT AVAILABLE,1-4724-00127/00004,not ARC,36103,NA,NA,NA,NA,NA,NA
1939,361996,EAST NORTHPORT LANDFILL,101 TOWN LINE RD,EAST NORTHPORT,NY,11731,NOT AVAILABLE,(631) 351-3187,TRANSFER,OPEN,SUFFOLK,36103,USA,40.8819709745808,-73.2891970540008,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,TOWN OF HUNTINGTON,NOT AVAILABLE,NOT AVAILABLE,not ARC,36103,NA,NA,NA,NA,NA,NA
1940,361994,EAST FULTON STREET-JOHNSTOWN TS,876 STATE HIGHWAY 29A (EAST FULTON STREET EXT.),GLOVERSVILLE,NY,12078,NOT AVAILABLE,(518) 736-5501,TRANSFER,OPEN,FULTON,36035,USA,43.0495308141957,-74.3101549500909,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,COUNTY OF FULTON,NOT AVAILABLE,18R01,not ARC,36035,NA,NA,NA,NA,NA,NA
1941,361997,EAST SIDE TRANSFER STATION,793 SOUTH OGDEN STREET,BUFFALO,NY,14206,NOT AVAILABLE,(716) 913-9798,TRANSFER,OPEN,ERIE,36029,USA,42.8838976565517,-78.8004611298772,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,12/29/2021,CITY OF BUFFALO,NOT AVAILABLE,9-1402-00567/00011,not ARC,36029,NA,NA,NA,NA,NA,NA
1942,361998,EASTCHESTER LEAF TRANSFER STATION,40 MILL ROAD,EASTCHESTER,NY,10709,NOT AVAILABLE,NOT AVAILABLE,TRANSFER,OPEN,WESTCHESTER,36119,USA,40.9554830577969,-73.8112061992067,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,TOWN OF EASTCHESTER,NOT AVAILABLE,60R32,not ARC,36119,NA,NA,NA,NA,NA,NA
1943,361999,PAUMANOK ENVIRONMENTAL,88 OLD DOCK ROAD,YAPHANK,NY,11980,NOT AVAILABLE,(631) 775-5900,C&D,NOT AVAILABLE,SUFFOLK,36103,USA,40.8114180062361,-72.9446225144175,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Solid-Waste-Management-Facilities/2fni-raj8/data,1645488000000,IMAGERY,1650412800000,NOT AVAILABLE,NOT AVAILABLE,9/8/2019,PAUMANOK ENVIRONMENTAL LLC,NOT AVAILABLE,NOT AVAILABLE,not ARC,36103,NA,NA,NA,NA,NA,NA
1944,362001,ELLENBURG TRANSFER STATION,6576 MILITARY TURNPIKE,ELLENBURG,NY,12933,NOT AVAILABLE,(518) 859-7080,TRANSFER,CLOSED,CLINTON,36019,USA,44.8915439107229,-73.8364476941057,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,CLINTON COUNTY,NOT AVAILABLE,10R04,not ARC,36019,NA,NA,NA,NA,NA,NA
1945,362000,ECOPARK & ROCHESTER TRANSFER STATION,10-14 AVION DRIVE,ROCHESTER,NY,14624,NOT AVAILABLE,(585) 549-3000,TRANSFER,OPEN,MONROE,36055,USA,43.1014782950873,-77.6966665946875,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,4/30/2020,WASTE MANAGEMENT OF NY; INC,NOT AVAILABLE,8-2622-00050/00001,not ARC,36055,NA,NA,NA,NA,NA,NA
1946,362002,ELLISBURG TRANSFER STATION,14925 COUNTY ROUTE 89,ELLISBURG (T),NY,13605,NOT AVAILABLE,(315) 465-4076,TRANSFER,OPEN,JEFFERSON,36045,USA,43.7088484475979,-76.0778056651993,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,TOWN OF ELLISBURG,NOT AVAILABLE,23R15,not ARC,36045,NA,NA,NA,NA,NA,NA
1947,362004,COVANTA ENVIRONMENTAL SOLUTIONS LLC,8335 QUARRY ROAD,NIAGARA,NY,14304,NOT AVAILABLE,(862) 234-5306,TRANSFER,OPEN,NIAGARA,36063,USA,43.1239408461931,-78.9688104298574,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,4/21/2025,JAMES G. GREIG,NOT AVAILABLE,9-2930-00012/00002,not ARC,36063,NA,NA,NA,NA,NA,NA
1948,362003,ELMA TRANSFER STATION,370 CREEK ROAD,ELMA,NY,14059,NOT AVAILABLE,(716) 652-8084,TRANSFER,OPEN,ERIE,36029,USA,42.8167756989394,-78.5868404797043,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,TOWN OF ELMA,NOT AVAILABLE,15R01,not ARC,36029,NA,NA,NA,NA,NA,NA
1949,362005,EPHRATAH TRANSFER STATION,5225 STATE HIGHWAY 29,EPHRATAH,NY,12095,NOT AVAILABLE,(518) 736-5501,TRANSFER,OPEN,FULTON,36035,USA,43.0415766992053,-74.5479955183785,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,COUNTY OF FULTON,NOT AVAILABLE,18R04,not ARC,36035,NA,NA,NA,NA,NA,NA
1950,362006,ERIN VAN ETTEN DROP-OFF,1892 SWARTWOOD ROAD,ERIN,NY,14838,NOT AVAILABLE,(800) 227-3552,TRANSFER,OPEN,CHEMUNG,36015,USA,42.2074413641277,-76.6456816412947,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,CHEMUNG COUNTY,NOT AVAILABLE,08R03,in ARC,36015,36015010100,36015010100,36015010100,360150101001,360150101001,360150101001
1951,362007,ERWIN TRANSFER & RECYCLING FACILITY,622 S. HAMILTON STREET,PAINTED POST,NY,14870,NOT AVAILABLE,(607) 664-2460,TRANSFER,OPEN,STEUBEN,36101,USA,42.1351283380025,-77.1238960277794,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,STEUBEN COUNTY DPW,NOT AVAILABLE,51R05,in ARC,36101,36101962300,36101962300,36101962301,361019623007,361019623001,361019623011
1952,362008,ESOPUS TS (T),70 WEST SHORE DRIVE,WEST PARK,NY,12493,NOT AVAILABLE,(845) 384-6835,TRANSFER,OPEN,ULSTER,36111,USA,41.8034167180072,-73.9647922887331,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,TOWN OF ESOPUS,NOT AVAILABLE,56R02,not ARC,36111,NA,NA,NA,NA,NA,NA
1953,362011,FAIR HAVEN HALL GROUND TS,14523 CAYUGA STREET,FAIR HAVEN,NY,13156,NOT AVAILABLE,(315) 947-5112,TRANSFER,OPEN,CAYUGA,36011,USA,43.3198384695698,-76.6981684815901,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,TOWN OF STERLING,NOT AVAILABLE,06R07,not ARC,36011,NA,NA,NA,NA,NA,NA
1954,362009,ESSEX-WILLSBORO TRANSFER STATION,ROUTE 22,ESSEX,NY,12936,NOT AVAILABLE,(518) 963-4287,TRANSFER,OPEN,ESSEX,36031,USA,44.3066249913503,-73.375989103914,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,ESSEX COUNTY,NOT AVAILABLE,16R40,not ARC,36031,NA,NA,NA,NA,NA,NA
1955,362010,CROWN RECYCLING FACILITY,865 YOUNGS AVE.,RIVERHEAD,NY,11901,NOT AVAILABLE,(631) 727-3939,TRANSFER,OPEN,SUFFOLK,36103,USA,40.9446639123097,-72.7173936782756,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,CROWN SANITATION,NOT AVAILABLE,NOT AVAILABLE,not ARC,36103,NA,NA,NA,NA,NA,NA
1956,362014,FIVE POINTS TRANSFER STATION,6909 TOAD HOLLOW ROAD,MANSFIELD,NY,14755,NOT AVAILABLE,(716) 938-6450,TRANSFER,OPEN,CATTARAUGUS,36009,USA,42.3022043247698,-78.7984384349858,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,CATTARAUGUS COUNTY DPW,NOT AVAILABLE,05R10,in ARC,36009,36009960600,36009960600,36009960600,360099606001,360099606001,360099606001
1957,362015,FLEMING TRANSFER STATION,2433 DUBLIN RD.,AUBURN,NY,13021,NOT AVAILABLE,(315) 255-8014,TRANSFER,OPEN,CAYUGA,36011,USA,42.8617793794149,-76.5794937105662,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,TOWN OF FLEMING,NOT AVAILABLE,06R03,not ARC,36011,NA,NA,NA,NA,NA,NA
1958,362013,FISHERS ISLAND WASTE MANAGEMENT DISTRICT,58 TOWN ROAD,FISHERS ISLAND,NY,06390,NOT AVAILABLE,(631) 788-7455,TRANSFER,OPEN,SUFFOLK,36103,USA,41.2541144626124,-72.0333630095952,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://data.ny.gov/Energy-Environment/Transfer-Stations-Solid-Waste-Management-Facilitie/avuu-s8z3,1556755200000,IMAGERY/OTHER,1588032000000,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,FISHERS ISLAND REFUSE DISTRICT,NOT AVAILABLE,52R13R,not ARC,36103,NA,NA,NA,NA,NA,NA
